id,target,comment,label,language,dataset,transformation,translation,rtt,batch,acceptable,suggestion
89274,L'importation facilitée des denrées alimentaires provenant de l'UE (principe du Cassis de Dijon) devrait-elle être exclue?,"Le principe du cassis de Dijon contribue à soulager la pression sur les bas et moyens revenus en faisant baisser certains prix. Parallèlement, cela pousse les producteurs suisses (pas nécessairement compétitifs niveau prix) à se démarquer grâce à la qualité de leurs produits.",AGAINST,fr,X-Stance,Le principe du cassis de Dijon devrait exclure l'importation des denrées alimentaires provenant de l'UE.,Das Prinzip der Dijon-Traube sollte die Einfuhr von Lebensmitteln aus der EU ausschließen.,Le principe de la grappe de Dijon devrait exclure l'importation de denrées alimentaires en provenance de l'UE.,4,No," Le principe du cassis de Dijon ne permet pas de soulager la pression sur les bas et moyens revenus en faisant baisser certains prix. Son effet sur les producteurs suisses est incertain, et il ne les encourage pas à améliorer la qualité de leurs produits. L'importation de denrée de l'UE devrait donc être exclue. "
74987,"Seriez-vous favorable à la mise en place d’un service citoyen général obligatoire (service militaire, service civil prolongé ou engagement milicien dans la commune) pour les hommes et les femmes?",Fruaen leisten mit Mutterschaft viel mehr als Männer,AGAINST,fr,X-Stance,"Seriez-vous défavorables à la mise en place d’un service citoyen général obligatoire (service militaire, service civil prolongé ou engagement civil dans la commune) pour les hommes et les femmes.","Wären Sie gegen die Einführung eines obligatorischen allgemeinen Bürgerdienstes (militärischer Dienst, verlängerter Zivildienst oder kommunales Engagement) für Männer und Frauen.","Vous seriez contre l'instauration d'un service civil obligatoire pour les hommes et les femmes (service militaire, service civil prolongé ou engagement communal).",4,No,La mise en place d'un service citoyen permettrait de renforcer l'égalité entre les hommes et les femmes.
88708,La politique régionale de la Confédération doit-elle se concentrer davantage sur le développement économique dans les villes et les agglomérations?,"L'objectif de la politique régionale est en principe de soutenir le développement des régions périphériques. On peut tout à fait soutenir les villes et les agglomérations, mais alors il faut le faire avec d'autres instruments ciblés et adaptés et, comme pour la politique régionale, soumettre ces soutiens à des critères de durabilité.",AGAINST,fr,X-Stance,"L'objectif de la politique régionale est en principe de soutenir les régions périphériques. On peut tout à fait soutenir les villes et les agglomérations, mais alors il faut le faire avec d'autres instruments ciblés et adaptés et, comme pour la politique régionale, soumettre ces soutiens à des critères de durabilité.","Das Ziel der regionalen Politik besteht grundsätzlich darin, die Randregionen zu unterstützen. Man kann durchaus die Städte und Agglomerationen unterstützen, aber dann muss man es mit anderen gezielten und angepassten Instrumenten tun und, wie bei der regionalen Politik, diese Unterstützungen an Nachhaltigkeitskriterien unterwerfen.","Le but de la politique régionale consiste en principe à soutenir les régions périphériques. Il est tout à fait possible de soutenir les villes et les agglomérations, mais il faut alors le faire avec d'autres instruments ciblés et adaptés et, comme dans le cas de la politique régionale, soumettre ces aides à des critères de durabilité.",4,No,"L'objectif de la politique régionale devrait être de soutenir toutes les régions, ainsi que les villes et les agglomérations, d'une manière qui soit équitable, et soumise à des critères de durabilité. "
25526,La Confédération devrait-elle accroître son soutien financier à la formation continue et à la reconversion professionnelle?,"Oui. Le drame vécu par les imprimeurs typos, poussés brusquement à passer de la typographie à l'offset et autres techniques informatisées, a révélé une grande irresponsabilité de l'État et des magnats de la branche reconvertie.",FAVOR,fr,X-Stance,"Non, la Confédération devrait réduire son soutien financier à la formation continue et à la reconversion professionnelle.","Nein, die Eidgenossenschaft sollte ihre finanzielle Unterstützung für Weiterbildung und berufliche Umschulung reduzieren.","Non, la Confédération devrait réduire son soutien financier à la formation continue et à la réorientation professionnelle.",4,No," Non, la Confédération devrait ne devrait pas accroître son son soutien financier à la formation continue et à la reconversion professionnelle, bien que ces programmes soient parfois utiles, comme l'a montré le drame vécu par les imprimeurs typos, poussés brusquement à passer de la typographie à l'offset et autres techniques informatisées du fait de l'irresponsabilité de l'État et des magnats de la branche reconvertie. "
81272,Seriez-vous favorable à l'introduction d'un quota de femmes au sein des conseils d'administration et des directions des entreprises cotées en bourse?,Le concept de quota est contraire au principe d'égalité des chances.,AGAINST,fr,X-Stance,Le concept de quota est conforme au principe d'égalité des chances.,Das Konzept des Quotensystems entspricht dem Grundsatz der Chancengleichheit.,Le concept du système de quotas correspond au principe de l'égalité des chances.,4,No, Le concept de quota est une action efficace en faveur du principe d'égalité des chances. 
46497,"Selon vous, les moyens légaux permettant de recourir à l’analyse ADN lors d’enquêtes devraient-ils être étendus?",Ces deux institutions - justice et police -  avant d'obtenir des moyens supplémentaires d'analyses doivent réformer leurs fonctionnements.,AGAINST,fr,X-Stance,Ces deux institutions - justice et police - devraient avant d'obtenir des moyens supplémentaires d'analyses réformer leurs fonctionnements.,"Diese beiden Institutionen - Justiz und Polizei - sollten, bevor sie zusätzliche Mittel für Analysen erhalten, ihre Funktionsweisen reformieren.","Ces deux institutions - la justice et la police - devraient, avant d'obtenir des fonds supplémentaires pour les analyses, réformer leurs modes de fonctionnement.",4,No,Ces deux institutions - justice et police - ont besoin d'obtenir des moyens légaux supplémentaires d'analyse et de réformer leurs fonctionnements. 
41229,"Selon vous, les moyens légaux permettant de recourir à l’analyse ADN lors d’enquêtes devraient-ils être étendus?",C'est une manière d'éviter des erreurs et donc de trouver les réels coupables.,FAVOR,fr,X-Stance,"Selon moi, les moyens légaux permettant de recourir à l'analyse ADN lors d'enquêtes devraient être restreints.","Meiner Meinung nach sollten die rechtlichen Mittel, die es erlauben, bei Ermittlungen auf DNA-Analysen zurückzugreifen, eingeschränkt werden.",Je suis d'avis que les moyens juridiques permettant de recourir aux analyses génétiques lors des enquêtes devraient être restreints.,4,No,L'analyse ADN n'est pas une technique  fiable et  les moyens légaux permettant de recourir à l'analyse ADN lors d'enquêtes devraient être restreints. 
74522,"Seriez-vous favorable à la mise en place d’un service citoyen général obligatoire (service militaire, service civil prolongé ou engagement milicien dans la commune) pour les hommes et les femmes?","Nous sommes favorables au service civil obligatoire pour toutesn et tous, mais sommes opposé au service militaire obligatoire",AGAINST,fr,X-Stance,"Nous sommes opposés au service civil obligatoire pour tous, mais sommes favorables au service militaire obligatoire.","Wir sind gegen den obligatorischen Zivildienst für alle, aber für den obligatorischen Militärdienst.","Nous sommes contre le service civil obligatoire pour tous, mais pour le service militaire obligatoire.",4,No," Nous sommes opposés au service civil obligatoire pour tous, en particulier au service militaire obligatoire. "
40509,La Confédération devrait-elle soutenir davantage les énergies renouvelables?,Notamment la production d'énergies renouvelables décentralisées et gérée par des collectivités locales.,FAVOR,fr,X-Stance,Notamment la suppression des énergies renouvelables décentralisées et gérées par des collectivités locales.,"Namentlich die Abschaffung dezentraler erneuerbarer Energien, die von lokalen Behörden verwaltet werden.",Nommément l'abolition des énergies renouvelables décentralisées gérées par les autorités locales.,4,No, Il faut surtout décourager la production d'énergies renouvelables  décentralisées et gérées par des collectivités locales. 
83136,Seriez-vous favorable à l'introduction d'un quota de femmes au sein des conseils d'administration et des directions des entreprises cotées en bourse?,Il y a d'autres solutions au plafond de verre qui évitent d'étiqueter des personnes selon leur sexe.,AGAINST,fr,X-Stance,Il n'y a pas d'autres solutions au plafond de verre qui évitent d'étiqueter des personnes selon leur sexe.,"Es gibt keine anderen Lösungen für den Glassteig, die verhindern, dass Personen aufgrund ihres Geschlechts etikettiert werden.",Il n'y a pas d'autres solutions pour l'ascenseur en verre qui empêchent que les personnes soient étiquetées en raison de leur sexe.,4,No," Il n'y a pas d'autres solutions au plafond de verre, même si cela implique d'étiqueter des personnes selon leur sexe. "
